country_code,variable,statistic,pvalue,lags
PRT,lgdp,-0.7386827940547843,0.8364738335762845,1
PRY,lgdp,-1.129852366218222,0.7030215261782016,1
PSE,lgdp,-1.9628047536231592,0.30311616841093936,1
PYF,lgdp,-1.9709405100489161,0.29945818824715936,1
QAT,lgdp,-2.076082981802675,0.2542398536519254,1
ROU,lgdp,-1.3870205372131423,0.588482576064673,1
RUS,lgdp,-3.0511636275202334,0.030384810419608024,1
RWA,lgdp,-1.787244659892064,0.38681250092849134,1
SAU,lgdp,-0.6297992497158278,0.8641054636476598,1
SDN,lgdp,-0.11818363420597504,0.9475969836607024,1
SEN,lgdp,0.9328106594474109,0.9935039173389635,1
SGP,lgdp,-1.0662090715765502,0.7283575655801908,1
SLB,lgdp,-2.7140955589005085,0.07163072122356559,1
SLE,lgdp,-3.1426180830412784,0.023555847548160716,1
SLV,lgdp,0.014355872628967814,0.9597033265724005,1
SMR,lgdp,-2.175568165989367,0.21523198253278147,1
SOM,lgdp,-1.9813954022274167,0.29478966880581514,1
SRB,lgdp,-0.91905466395913,0.7816326976904379,1
SSD,lgdp,-0.7910803241966173,0.8217281238886445,1
STP,lgdp,-1.0244783521710656,0.7442320269168652,1
SVK,lgdp,-2.2589766196461634,0.18554022696370054,1
SVN,lgdp,-1.110976823145332,0.7106746823325485,1
SWE,lgdp,-1.5156546143632421,0.5257535016143787,1
SWZ,lgdp,-1.5044955513099172,0.5312862933023205,1
SYC,lgdp,-1.2823606714400475,0.6372031968074884,1
TCD,lgdp,-3.0620182581060438,0.029494704644847835,1
TGO,lgdp,0.28640204575902967,0.9767119467740035,1
THA,lgdp,-2.62564197029875,0.0878125486141676,1
TJK,lgdp,-1.4876666339902744,0.5396034173214694,1
TKM,lgdp,-0.24294358444048533,0.9332055015648407,1
TLS,lgdp,-1.9904754024013847,0.29076485530922935,1
TON,lgdp,-0.5844604803405703,0.8744548031455592,1
TUN,lgdp,-2.3425967850846754,0.1585973304611059,1
TUR,lgdp,-0.944123188306448,0.7730951111497022,1
TZA,lgdp,-3.2980537709619653,0.014965695444055595,1
UGA,lgdp,-3.2198307743461645,0.018865112043577076,1
UKR,lgdp,-2.6570254754325577,0.08177448641274448,1
URY,lgdp,-1.0396846014682266,0.7385165852044093,1
USA,lgdp,0.20913997020269098,0.9727695929413805,1
UZB,lgdp,-1.1675491530295503,0.6873972086156835,1
VEN,lgdp,-1.5537785889869946,0.5067602010232819,1
VNM,lgdp,-0.7422696521037054,0.8354949192598664,1
VUT,lgdp,-2.4274803854767106,0.13412999792848113,1
WSM,lgdp,-1.9150997680224824,0.32499138420599616,1
XKX,lgdp,-0.5057431199182006,0.8908908840947687,1
YEM,lgdp,0.2408578386426507,0.9744623017638463,1
ZAF,lgdp,-2.6438363844639965,0.08427133151041727,1
ZMB,lgdp,-3.029364100656342,0.0322416777386814,1
ZWE,lgdp,-2.5365042070991572,0.10684316096327207,1
