country_code,variable,statistic,pvalue,lags
ESP,linv,-1.5459258000850842,0.5106826656487315,1
EST,linv,-2.809721655422608,0.05689846124402592,1
ETH,linv,1.0156314527645836,0.9944281708737679,1
FIN,linv,-1.9718383786282547,0.2990558275017936,1
FJI,linv,-2.6351416681984623,0.08594950191844092,1
FRA,linv,-2.150802544470518,0.22458302310159778,1
FRO,linv,-0.5783156288448076,0.8758069129314381,1
GAB,linv,-0.9198843000821958,0.7813537272309455,1
GBR,linv,-2.041965636748172,0.2684809941394899,1
GEO,linv,-2.5113287710410734,0.11274218847207262,1
GHA,linv,-2.671866124823074,0.07903446113128476,1
GIN,linv,-2.2472951802901147,0.18952974994477573,1
GMB,linv,-0.9199775689324621,0.7813223496490888,1
GNB,linv,-2.6119810838738324,0.09054621806225405,1
GNQ,linv,0.6325708962873334,0.9883915288411558,1
GRC,linv,-1.3693887004033345,0.5968604312355521,1
GRL,linv,-2.401899665261108,0.14120095992014847,1
GTM,linv,-1.77635519171692,0.39226224864302484,1
GUY,linv,0.9028278097341303,0.9931271192623238,1
HKG,linv,0.1711345852570116,0.9705953493669323,1
HND,linv,-3.2007182357675856,0.01994314253619371,1
HRV,linv,-1.683887838947024,0.4394324807159979,1
HTI,linv,-2.5599993944683077,0.1015495637204526,1
HUN,linv,-0.5267860833947978,0.8866825321878903,1
IDN,linv,-1.8085338887727491,0.3762331614118351,1
IND,linv,-1.6290043323444667,0.4680119284501578,1
IRL,linv,-2.249139917899902,0.18889604918672598,1
IRN,linv,-2.3091867773288297,0.16902216990363667,1
IRQ,linv,-4.371964095051018,0.0003326441281268466,1
ISL,linv,-2.401584537624352,0.1412896840181928,1
ISR,linv,-1.774601431138652,0.39314227271610747,1
ITA,linv,-1.4187996462516415,0.5732308886252775,1
JOR,linv,-0.9582954076547666,0.7681697051672423,1
JPN,linv,-2.2539618125087353,0.18724614771527875,1
KAZ,linv,-2.2706592499061307,0.181605598689278,1
KEN,linv,-1.3902757615028485,0.5869290599468515,1
KGZ,linv,-1.391415728476824,0.5863845368952949,1
KHM,linv,-1.2040692357960097,0.6718427843235173,1
KIR,linv,-1.8499010893921537,0.35598343904289675,1
KOR,linv,-2.219544277236419,0.19922863154360554,1
KWT,linv,-2.5103163289578942,0.11298438564881291,1
LAO,linv,-10.98711470795403,7.21267807384063e-20,1
LBN,linv,4.130772799256841,1.0,1
LBY,linv,-3.309385630493397,0.014464113908932853,1
LKA,linv,-1.5265853736278912,0.5203213522876379,1
LSO,linv,-1.7520722056046214,0.4045024667230458,1
LTE,linv,-2.2578631903608573,0.1859181097668564,1
LTU,linv,-3.744166242182266,0.0035331055684141195,1
LUX,linv,-2.1603023011850193,0.22096747811211365,1
LVA,linv,-2.2115044127658923,0.2020965465209214,1
