country_code,gdp_mean,gdp_std,gdp_min,gdp_max,trade_mean,trade_std,trade_min,trade_max,inv_mean,inv_std,inv_min,inv_max,school_mean,school_std,school_min,school_max,popg_mean,popg_std,popg_min,popg_max
LBY,10146.463010695823,2441.381191986124,6102.79864032512,13712.9602583972,85.14511605020844,32.59025097171991,41.1101760615135,164.284069967105,15.72784381570371,5.238815886885518,8.44242069649716,26.2237211424,108.28394444783532,3.5216230277734524,102.512176513672,112.976516723633,1.4141754487962854,1.2715063579168853,-2.61743182302169,2.12409959672873
LKA,3169.2139381067223,1060.2824410140374,1896.48251385291,4493.03574617534,60.63581260962175,16.153677629949097,37.0891188568192,88.636441704913,29.713847792913075,5.6890046685620375,22.0040128023487,39.7266305229837,95.74734065733414,2.7742602735626414,92.1975326538086,102.919822692871,0.8703989201603851,0.39795945228268403,0.112772639779474,1.82192893868799
LSO,1031.4464098336628,72.27126804531457,927.26863327342,1147.58748801671,144.6780816491943,10.96045539801951,126.292475360578,165.048948833372,28.39581924499304,3.9840991471731484,21.4472792170962,35.7205960501896,105.89300585926681,13.588795887540325,83.6343022439557,124.028053283691,1.0097332244295147,0.24263315910070726,0.420949997112671,1.24492806980041
LTE,6948.894532525772,2382.4176044628143,3466.77132065183,10941.9407766362,57.627450863453,5.433253583194444,51.3902275348393,68.1111135313676,32.316777007420725,3.3834335883457083,25.3440301805531,36.281882241735,104.40096979555878,4.4880446382088435,99.789421081543,113.741676330566,0.5927674835836014,0.16628866610515095,0.158139633101719,0.783673440817429
LTU,12549.226263463259,3751.150066442014,6384.30865426374,18873.8427527274,129.89987635987308,24.168933521222694,83.1914942748116,176.631817072239,21.862913631519543,4.140531624969291,12.9798453346191,32.4396749969277,102.12126818570226,1.175101861335271,99.499267578125,103.970291137695,-0.9513415075150916,0.661581105859779,-2.25846389882827,0.824789131191284
LUX,104395.67592477596,5139.977580189478,92533.1393756479,112422.146493735,317.76300733645655,48.087898830766115,244.977946060528,412.177169924175,19.261983105979233,1.69502504933614,16.1829007965354,22.5591343548168,98.45168776739212,1.0681237166707602,96.2988433837891,99.8659591674805,1.8123721747959733,0.4236296086471755,1.04766081596443,2.43097641776115
LVA,11879.72529065402,2935.8318760236157,6336.38296707987,16421.3748596,114.14467473510084,20.49292441984894,83.6121321100556,159.892778190649,27.999945751907223,6.433963136004986,20.9313394628785,43.6658757384645,101.85481990467423,2.237702968791284,99.1985473632812,105.490577697754,-1.045876033757862,0.38705273608452945,-2.08130508988111,-0.271369577775699
MAC,60414.083736012304,21688.644328765888,31772.6302531656,99054.4980289716,132.0375929948428,17.876398729687036,112.890232741859,171.31597082054,19.568116259882377,7.508919806698642,9.24118159384526,36.5478705097145,100.15107826198181,5.264580223389265,84.9676674364896,106.838760375977,2.001712884068742,1.8755632396319866,-1.05978494919527,5.22537622408586
MAR,2781.637801460601,447.61693696571126,1957.14135742188,3364.73950195313,69.05648287197253,11.180477467359896,52.3318582669923,100.906310201651,29.858180538316397,2.9862274993280984,23.8068463049384,35.5127958030057,106.58985057177506,4.581093017846123,93.7790679931641,116.554648725847,1.2460760913131395,0.12924250971133228,1.00691847923959,1.40392630100829
MDA,2456.198431916331,701.4451612056051,1346.91567176561,3688.16729442144,109.35860894100011,22.14472688480669,79.265722119158,143.023568469138,26.130844164529538,4.761964782199483,21.6601824678981,39.227918692985,101.90041568593205,5.8352942376216825,93.5407792138963,107.431409833521,-0.641424094914079,0.7382707540904742,-2.62110760462091,-0.0131095435392298
MDG,450.05568996774264,18.582255410583947,406.70122213637,490.963935389518,57.3647860282136,9.760007572313514,34.030602917475,74.357353960806,20.184065168067903,6.9611989402574,10.9702431408945,38.7460962157139,127.58348970526636,14.067697732751853,95.8474273681641,140.266357421875,2.7958573996356573,0.19342417405445533,2.48207836172625,3.17297260783499
MDV,9934.777884500269,1152.6779490266658,7295.60220956454,11194.9253748064,143.86900807018588,14.791185814906669,114.361902904327,165.97925116043,36.46343334394331,7.806469127561098,25.1856622862565,48.970177770723,97.2392542542345,0.9527941793967974,96.0147426502285,99.0061090225564,3.0006046904692365,0.6036405618077582,1.528878337276,3.47818441091268
MEX,9697.64671049192,347.27220516679563,9074.11881448129,10296.8690940459,63.29555904272032,12.957644703246707,44.7401090123173,88.7984855897261,22.59392074079938,1.307877316788738,20.2366593532112,24.3777390631793,107.9195908256199,2.5521306335056564,102.004783630371,111.073516845703,1.2213290511321429,0.26697381219166083,0.66740537533078,1.54272528221216
MHL,3945.352735207911,823.8935577675002,3146.26177205458,5591.46393193103,131.6619163479205,16.96627315827331,107.825971877585,161.91974248927,25.059649760732437,9.771613038368663,12.9106253458771,53.1513954486904,106.468655790708,3.2280625591273187,101.758949279785,111.781011781012,-1.3340768277983894,1.3480106068981175,-3.18559640580083,0.293918803877236
MKD,4642.560018074111,994.0744890969569,3169.32514368931,6250.62720952063,107.21520235936148,25.31837166630205,71.0693204909674,166.147357379878,26.82713987424936,5.486462296527964,17.3554734085335,36.0166355424196,96.0925020490374,2.8836655548627226,91.8012084960938,101.575706481934,-0.4192635192469094,0.3699883181121798,-1.07910572041332,0.455448702114895
MLI,818.6632657780925,51.58033269333638,682.497420451512,909.751069706998,49.9591961019692,5.02403974442279,40.5413815808137,61.5613274861987,22.131912886439828,3.139090385070339,16.462314211956,27.3161677115008,70.26189361492949,7.152297963914226,52.9354515075684,78.6656430079497,3.1316910639769757,0.12591787953748446,2.91308874187569,3.28796078422057
